Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_4680_brier,0_4680_san,4680_9361_brier,4680_9361_san,9361_14042_brier,9361_14042_san,acc,brier,san
meta-llama/Llama-2-7b-hf,Llama-2,7.0,2.0,84.0,0.437960964,0.530716724,0.777434774,0.740331492,0.389802028,0.144806672,0.754881273,0.12804878,meta,202307.0,0.458624128,rllab,,,,0.4062759890922986,0.9952701842126414,0.4184693924355419,0.9943408320317182,0.5225967696281386,0.99481942202139,0.45862412761714855,0.4491171010947219,0.9948101133270075
meta-llama/Llama-2-13b-hf,Llama-2,13.0,2.0,156.0,0.543378428,0.58105802,0.809699263,0.766377269,0.34172403,0.228203184,0.786798487,0.182926829,meta,202307.0,0.5491382994,bdsrc,,,,0.3465935893099751,0.9901458473887219,0.3363048879140846,0.9897825726198108,0.45012869565628816,0.9886816699290158,0.5491382993875517,0.37767793780541403,0.9895366532652211
meta-llama/Llama-2-70b-hf,Llama-2,70.0,2.0,840.0,0.698320892,0.673208191,0.873332006,0.837411208,0.449234937,0.540561031,0.824453228,0.298780488,meta,202307.0,,,,,,,,,,,,,,
huggyllama/llama-7b,Llama,6.7,1.0,40.2,0.356933064,0.509385666,0.778131846,0.714285714,0.343279329,0.080363912,0.693204495,0.12804878,meta,202302.0,0.34952286,rllab,,,,0.5062611170862077,0.989772778040517,0.5246355140459353,0.9888848798060978,0.5749851056484396,0.9880782372614011,0.3495228599914542,0.5352959798285735,0.9889119037332688
huggyllama/llama-13b,Llama,13.0,1.0,78.0,0.476105883,0.561433447,0.809201354,0.762430939,0.394788826,0.075815011,0.730361681,0.158536585,meta,202302.0,,,,,,0.3981663028735946,0.990192975235632,0.4146407965439183,0.9897139396694277,0.5111822204314894,0.9894108196472633,0.468807862127902,0.4413328471663793,0.989772548245564
huggyllama/llama-30b,Llama,32.5,1.4,273.0,0.584466128,0.614334471,0.847341167,0.800315706,0.42273876,0.148597422,0.771147904,0.207317073,meta,202302.0,,,,,,0.31050172431184625,0.9924204997629957,0.3086854250919584,0.9918372418888262,0.459172892469262,0.9913457833180339,0.5820395954992167,0.35945683337726086,0.9918678022991149
huggyllama/llama-65b,Llama,65.2,1.4,547.68,0.639306418,0.634812287,0.860884286,0.825572218,0.434287607,0.372251706,0.776834807,0.231707317,meta,202302.0,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-70B,Llama-3,70.0,15.0,6300.0,0.792329339,,0.87980482,0.853196527,0.455623682,0.768764215,0.844706094,0.524390244,meta,202404.0,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3-8B,Llama-3,8.0,15.0,720.0,0.664949549,,0.820155348,0.771112865,0.439522651,0.453373768,0.801151665,0.384146341,meta,202404.0,0.651687794,rllab,,,,,,,,,,,,
Qwen/Qwen1.5-72B,Qwen1.5,72.0,3.0,1296.0,0.772014583,0.658703072,0.859888468,0.830307814,0.596080564,0.657316149,0.825768095,0.451219512,alibaba,202402.0,,,,,,,,,,,,,,
Qwen/Qwen1.5-32B,Qwen1.5,32.0,4.0,768.0,0.742996128,0.635665529,0.850029875,0.814522494,0.573944434,0.611068992,0.791176059,0.420731707,alibaba,202402.0,,,,,,0.19218128006891058,0.9966442548907612,0.1750985492803728,0.9969327253235165,0.2871861443956983,0.9961564842726124,0.734297108673978,0.2181571743213346,0.9965778167645789
Qwen/Qwen1.5-14B,Qwen1.5,14.0,4.0,336.0,0.693602647,0.565699659,0.810794662,0.73480663,0.520609239,0.676269901,0.777502468,0.396341463,alibaba,202402.0,,,,,,0.2267995916414765,0.9977691591377985,0.2266990388961948,0.9978604732386159,0.3527737457115798,0.9972953657462305,0.679532830081185,0.2687604467761798,0.9976416569614752
Qwen/Qwen1.5-7B,Qwen1.5,7.0,4.0,168.0,0.619700217,0.541808874,0.785102569,0.712707182,0.51082277,0.53525398,0.752361398,0.347560976,alibaba,202402.0,0.604828372,rllab,,,,0.29523860504619776,0.9978037860001386,0.27372609710660006,0.9976924239818564,0.40464669154524113,0.9974453571906943,0.6048283720267769,0.32453921772507394,0.9976471779055188
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.3339693534693123,0.9974635262807156,0.3297163879568787,0.9976329161313237,0.44749895078344887,0.9973195522600713,0.5526278307933343,0.3703974914456494,0.997471998827361
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.4122263375229778,0.9966985500553813,0.4096083598519911,0.9967483135466412,0.5018654275776468,0.9964216976651115,0.4600484261501211,0.44123544071825094,0.9966228483650071
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.47300531351982356,0.9953411040496066,0.47922026248423505,0.9957976163565172,0.5399643213456242,0.9951672501726929,0.38861985472154964,0.4973983694758822,0.9954353302361088
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.3210186113892133,0.9976848294586712,0.305917134688599,0.9977292424037589,0.42547059045021746,0.9974482631644408,0.5828941746190002,0.35080423320583154,0.9976207737808997
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.2630500668604349,0.9941104658548557,0.2759631671328621,0.9939125672718655,0.41866948645728325,0.9933457630596504,0.62590799031477,0.3192315741605386,0.9937895758782651
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.2771431379523315,0.991634592840361,0.2727401345865838,0.9919506406641215,0.3791875014447562,0.9911916455899421,0.634453781512605,0.3096925758353248,0.9915922900190868
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.25844204376502683,0.9961738983814342,0.26893482510326666,0.9964033686266481,0.3829460408724721,0.9958485092491483,0.6509756444950862,0.30344417450881295,0.9961419231421267
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.4709378159573795,0.9957960260070613,0.4818291990126001,0.9959151974293898,0.5360767143919285,0.9955662548069656,0.4119071357356502,0.4962830479509429,0.9957591567890205
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.539317328847949,0.9945127937754676,0.5435691802970416,0.9947300384300698,0.5935623338836019,0.99436119934052,0.27075915111807436,0.558817669625979,0.9945346787404444
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.5513661042956745,0.9892556047727687,0.5534916310157451,0.9896625620925744,0.6000893827685535,0.9886941689335697,0.2507477567298106,0.5683169130913023,0.9892041082659097
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.32011488315747755,0.9969631770598807,0.3126565783326905,0.9970340099650689,0.44920295271396976,0.9965227579409736,0.5694345534824099,0.3606610253529702,0.9968399728819544
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.40755004943282125,0.9959673383952001,0.42362940800184057,0.9960090974947271,0.5592082417954735,0.9955092037354043,0.4246546076057542,0.46346654821583894,0.9958285366577223
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.5299707455828373,0.9824456331044996,0.5541165884099996,0.9835725254300764,0.6130374428798117,0.982166996183276,0.24939467312348668,0.5657108040019486,0.9827284050420987
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.4913311195501395,0.9676229074356576,0.5716632109500646,0.9677159008990118,0.6359892337379865,0.9646981274324579,0.2551630821820253,0.5663331956330593,0.9666789113672176
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.5465512975952597,0.9963915216345733,0.5581338578948088,0.9965974129765068,0.5796152071809706,0.9960428287607432,0.2605754166073209,0.5614345140553798,0.9963439177340745
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.5472214802022964,0.9912474445255398,0.5474702416277236,0.99175301534261,0.5864141017435658,0.9908722409456437,0.26634382566585957,0.5603695441295952,0.9912909033659608
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.5580993394619684,0.9953706298657962,0.5506437635335759,0.9951560034743673,0.577036930306487,0.995241450908171,0.2617148554336989,0.5619269503309615,0.9952560199214183
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.4338256316120634,0.5795590754511727,0.6256008242350947,0.5602681264124462,0.7089777373583867,0.5965995268389755,0.2573707449081327,0.5894791484663098,0.5788088561445223
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.512734397393576,0.9897604469863395,0.5706030329713314,0.9898093399347583,0.6187932351224545,0.989360052906695,0.2502492522432702,0.5673807798567823,0.9896432715985524
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.40516873416671967,0.8765889693830714,0.5803603393258739,0.8631692991636237,0.7773296810217903,0.8779843220174048,0.2527417746759721,0.5876325780620736,0.8725805780844003
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.43485379537899554,0.9496419255091937,0.5989357614639399,0.9458018088076809,0.7207860756817313,0.9485914600928157,0.2444096282580829,0.5848692267520684,0.9480116153757456
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.49339615802014686,0.987330489711168,0.5590824678300086,0.988289552775766,0.6483943619371175,0.9863319863390101,0.2658453211793192,0.5669629012729095,0.9873173420057324
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.5345049548465161,0.9795961469197438,0.5602027561365394,0.979893097641699,0.5941680409625711,0.9783362265079253,0.2593647628542943,0.5629606103049865,0.9792751341638453
